epoch,acc,f1_score,loss,precision,recall,val_acc,val_f1_score,val_loss,val_precision,val_recall
0,0.2658959627151489,"""[0.21071753, 0.1387604, 0.21523179, 0.2762431, 0.2641829, 0.46397468]""",5.7952046394348145,0.21068890392780304,0.5913294553756714,0.3429561257362366,"""[0.27636364, 0.16988418, 0.28395066, 0.3321033, 0.4, 0.5704698]""",4.189353942871094,0.23777684569358826,0.6570438742637634
1,0.4280346930027008,"""[0.40285206, 0.2784091, 0.32446355, 0.42659277, 0.42917728, 0.66159695]""",3.5471558570861816,0.2557275593280792,0.7161849737167358,0.4965358078479767,"""[0.5053381, 0.3333333, 0.38815787, 0.4827586, 0.52597404, 0.72053874]""",2.583409309387207,0.2779187858104706,0.7586604952812195
2,0.6037572026252747,"""[0.609607, 0.46603772, 0.44424132, 0.595259, 0.63192725, 0.8311076]""",2.082890033721924,0.2944895029067993,0.8078034520149231,0.6431870460510254,"""[0.66894203, 0.54251015, 0.5, 0.6407767, 0.64918035, 0.85106385]""",1.5835068225860596,0.3107932507991791,0.8279445767402649
3,0.7413294911384583,"""[0.7414549, 0.658363, 0.5836502, 0.7207515, 0.7870216, 0.92682934]""",1.2082914113998413,0.326070636510849,0.8780347108840942,0.7401847839355469,"""[0.7918089, 0.6718146, 0.59999996, 0.7051282, 0.75728154, 0.92193305]""",1.0119869709014893,0.3401060104370117,0.8891454935073853
4,0.8436416387557983,"""[0.8464223, 0.83034956, 0.7052023, 0.8143713, 0.8751048, 0.9708576]""",0.7226270437240601,0.3483799993991852,0.9167630076408386,0.8221709132194519,"""[0.88741726, 0.8029739, 0.6849315, 0.78095233, 0.8235295, 0.9660377]""",0.7170506119728088,0.35904374718666077,0.9191685914993286
5,0.8994219899177551,"""[0.92348284, 0.902294, 0.78416586, 0.8669528, 0.9234651, 0.984047]""",0.46418341994285583,0.36544036865234375,0.947398841381073,0.8625866174697876,"""[0.9306931, 0.8776979, 0.72909695, 0.80921054, 0.8631579, 0.98098856]""",0.5623716115951538,0.37505730986595154,0.9445727467536926
6,0.9329479932785034,"""[0.95498675, 0.95254236, 0.8455134, 0.9023973, 0.9404762, 0.99492383]""",0.32437774538993835,0.3762253522872925,0.9650288820266724,0.8822171092033386,"""[0.93421054, 0.9032258, 0.7631579, 0.8250824, 0.89928055, 0.98484856]""",0.48120588064193726,0.3820536434650421,0.9538106322288513
7,0.9580925107002258,"""[0.9752212, 0.9727891, 0.8976234, 0.93401885, 0.96757674, 0.99745977]""",0.24255624413490295,0.3841150403022766,0.9728323817253113,0.8914549946784973,"""[0.9407895, 0.9103943, 0.77922076, 0.8333333, 0.91366905, 0.98859316]""",0.43648841977119446,0.3883177638053894,0.9595842957496643
8,0.9722543358802795,"""[0.98758864, 0.98212767, 0.9322493, 0.9518072, 0.97857755, 0.99915326]""",0.20006325840950012,0.3889463543891907,0.9783236980438232,0.8949191570281982,"""[0.9407895, 0.9142857, 0.7857143, 0.8333333, 0.9241877, 0.98859316]""",0.409393310546875,0.39304184913635254,0.9653579592704773
9,0.9817919135093689,"""[0.99113476, 0.9940426, 0.9511754, 0.96213424, 0.9905903, 1.0]""",0.17058613896369934,0.39265504479408264,0.9826589822769165,0.9087759852409363,"""[0.94426227, 0.9142857, 0.8208469, 0.85333335, 0.94584835, 0.98859316]""",0.3875328302383423,0.39763033390045166,0.968822181224823
10,0.9867051839828491,"""[0.9946714, 0.9965871, 0.9632287, 0.9715272, 0.99315065, 1.0]""",0.152790367603302,0.39567843079566956,0.9843930602073669,0.9133949279785156,"""[0.9477124, 0.9175627, 0.8300653, 0.85333335, 0.95683455, 0.98859316]""",0.3722783923149109,0.4002855718135834,0.9711316227912903
11,0.9901733994483948,"""[0.9973428, 0.9982935, 0.97214735, 0.9758621, 0.9965695, 1.0]""",0.14048251509666443,0.39841288328170776,0.9867051839828491,0.9168591499328613,"""[0.9477124, 0.92142856, 0.83934426, 0.8561872, 0.96057343, 0.98859316]""",0.36271411180496216,0.40306365489959717,0.9722864031791687
12,0.992485523223877,"""[0.9982301, 0.9982935, 0.9784946, 0.9818497, 0.9974249, 1.0]""",0.13082782924175262,0.4011484682559967,0.9893063306808472,0.9214780330657959,"""[0.9573771, 0.92142856, 0.84313726, 0.8628762, 0.9640288, 0.9924242]""",0.3531281650066376,0.4060547947883606,0.9757505655288696
13,0.9956647157669067,"""[1.0, 0.99914604, 0.9866192, 0.9896014, 0.9982818, 1.0]""",0.12379541248083115,0.40377137064933777,0.9901733994483948,0.9226328134536743,"""[0.9573771, 0.92526686, 0.8459017, 0.8628762, 0.9640288, 0.9924242]""",0.34540659189224243,0.40664100646972656,0.9757505655288696
14,0.9965317845344543,"""[1.0, 0.99914604, 0.9893048, 0.99219435, 0.9982818, 1.0]""",0.11810269206762314,0.4058948755264282,0.9910404682159424,0.9226328134536743,"""[0.9573771, 0.92526686, 0.8459017, 0.8628762, 0.9640288, 0.9924242]""",0.33830177783966064,0.4084983170032501,0.9769052863121033
15,0.9976878762245178,"""[1.0, 1.0, 0.9928952, 0.9947826, 0.9982818, 1.0]""",0.11302366852760315,0.40760093927383423,0.99190753698349,0.9249422550201416,"""[0.9573771, 0.9323844, 0.8459017, 0.8695652, 0.9640288, 0.9924242]""",0.333097368478775,0.4115366041660309,0.980369508266449
16,0.9979768991470337,"""[1.0, 1.0, 0.99377775, 0.9947826, 0.99914163, 1.0]""",0.1089056208729744,0.4090583920478821,0.99190753698349,0.923787534236908,"""[0.95424837, 0.9357143, 0.84313726, 0.8657719, 0.9640288, 0.9924242]""",0.32844260334968567,0.4136252999305725,0.9815242290496826
17,0.9982659220695496,"""[1.0, 1.0, 0.9946619, 0.9956559, 0.99914163, 1.0]""",0.10525210201740265,0.41088515520095825,0.9927745461463928,0.923787534236908,"""[0.95424837, 0.9357143, 0.84313726, 0.8657719, 0.9640288, 0.9924242]""",0.32399076223373413,0.4151219427585602,0.982679009437561
18,0.9994219541549683,"""[1.0, 1.0, 0.9982206, 0.9982639, 1.0, 1.0]""",0.1020905002951622,0.4128319025039673,0.9930635690689087,0.9226328134536743,"""[0.95424837, 0.9357143, 0.84039086, 0.86195284, 0.9640288, 0.9924242]""",0.31958645582199097,0.4165442883968353,0.982679009437561
19,0.9997109770774841,"""[1.0, 1.0, 0.9991111, 0.9991312, 1.0, 1.0]""",0.09917685389518738,0.4139882028102875,0.9939306378364563,0.9203233122825623,"""[0.95424837, 0.9357143, 0.8327869, 0.86195284, 0.9571429, 0.9924242]""",0.3154241442680359,0.41818180680274963,0.982679009437561
20,0.9997109770774841,"""[1.0, 1.0, 0.9991111, 0.9991312, 1.0, 1.0]""",0.09659987688064575,0.4149077236652374,0.9942196607589722,0.9226328134536743,"""[0.9576547, 0.93906814, 0.83660126, 0.86195284, 0.96057343, 0.9924242]""",0.3121120035648346,0.4202468991279602,0.982679009437561
21,0.9997109770774841,"""[1.0, 1.0, 0.9991111, 0.9991312, 1.0, 1.0]""",0.09422265738248825,0.41678762435913086,0.9959537386894226,0.9226328134536743,"""[0.9576547, 0.93906814, 0.83660126, 0.86195284, 0.96057343, 0.9924242]""",0.30967286229133606,0.421913743019104,0.982679009437561
22,1.0,"""[1.0, 1.0, 1.0, 1.0, 1.0, 1.0]""",0.09189096093177795,0.41827449202537537,0.9962427616119385,0.923787534236908,"""[0.96103895, 0.9357143, 0.84210527, 0.86195284, 0.96057343, 0.9924242]""",0.3057267963886261,0.42338308691978455,0.982679009437561
23,1.0,"""[1.0, 1.0, 1.0, 1.0, 1.0, 1.0]""",0.08979959040880203,0.41944512724876404,0.9962427616119385,0.923787534236908,"""[0.96103895, 0.9357143, 0.84210527, 0.86195284, 0.96057343, 0.9924242]""",0.30219766497612,0.4264264404773712,0.9838337302207947
24,1.0,"""[1.0, 1.0, 1.0, 1.0, 1.0, 1.0]""",0.08786670118570328,0.42023158073425293,0.9965317845344543,0.923787534236908,"""[0.96103895, 0.9357143, 0.84210527, 0.86195284, 0.96057343, 0.9924242]""",0.2996373772621155,0.4274962246417999,0.9838337302207947
25,1.0,"""[1.0, 1.0, 1.0, 1.0, 1.0, 1.0]""",0.08593422919511795,0.421412855386734,0.9965317845344543,0.923787534236908,"""[0.96103895, 0.9357143, 0.84210527, 0.86195284, 0.96057343, 0.9924242]""",0.2967883348464966,0.42814069986343384,0.9838337302207947
26,1.0,"""[1.0, 1.0, 1.0, 1.0, 1.0, 1.0]""",0.08417008817195892,0.4227423071861267,0.9971098303794861,0.923787534236908,"""[0.96103895, 0.9357143, 0.84210527, 0.86195284, 0.96057343, 0.9924242]""",0.2932502329349518,0.42921915650367737,0.9838337302207947
27,1.0,"""[1.0, 1.0, 1.0, 1.0, 1.0, 1.0]""",0.08240614831447601,0.4240413010120392,0.9971098303794861,0.923787534236908,"""[0.96103895, 0.9357143, 0.84210527, 0.86195284, 0.96057343, 0.9924242]""",0.2902234196662903,0.43030303716659546,0.9838337302207947
28,1.0,"""[1.0, 1.0, 1.0, 1.0, 1.0, 1.0]""",0.08072863519191742,0.4250338673591614,0.9971098303794861,0.9272517561912537,"""[0.9644013, 0.93906814, 0.8459017, 0.86868685, 0.96057343, 0.9961977]""",0.2876572608947754,0.4310953915119171,0.986143171787262
29,1.0,"""[1.0, 1.0, 1.0, 1.0, 1.0, 1.0]""",0.07907146215438843,0.4269273579120636,0.9971098303794861,0.9272517561912537,"""[0.9644013, 0.93906814, 0.8459017, 0.86868685, 0.96057343, 0.9961977]""",0.2853412628173828,0.43153107166290283,0.986143171787262
30,1.0,"""[1.0, 1.0, 1.0, 1.0, 1.0, 1.0]""",0.07756911218166351,0.42798659205436707,0.9971098303794861,0.9284064769744873,"""[0.9677419, 0.94244605, 0.8459017, 0.86868685, 0.96057343, 0.9961977]""",0.28273195028305054,0.433062881231308,0.986143171787262
31,1.0,"""[1.0, 1.0, 1.0, 1.0, 1.0, 1.0]""",0.07604361325502396,0.4292464554309845,0.9976878762245178,0.9307159185409546,"""[0.9677419, 0.94244605, 0.85342026, 0.8745763, 0.96057343, 0.9961977]""",0.28036734461784363,0.43394309282302856,0.986143171787262
32,1.0,"""[1.0, 1.0, 1.0, 1.0, 1.0, 1.0]""",0.07463415712118149,0.4305312931537628,0.9976878762245178,0.929561197757721,"""[0.9677419, 0.94244605, 0.8496732, 0.8716216, 0.96057343, 0.9961977]""",0.27807140350341797,0.4343845248222351,0.986143171787262
33,1.0,"""[1.0, 1.0, 1.0, 1.0, 1.0, 1.0]""",0.07322479039430618,0.4324188828468323,0.9976878762245178,0.9307159185409546,"""[0.9677419, 0.94244605, 0.85342026, 0.8745763, 0.96057343, 0.9961977]""",0.2753576636314392,0.43527013063430786,0.986143171787262
34,1.0,"""[1.0, 1.0, 1.0, 1.0, 1.0, 1.0]""",0.07182788848876953,0.4342138469219208,0.9976878762245178,0.931870698928833,"""[0.97087383, 0.94244605, 0.8543689, 0.877551, 0.96057343, 0.9961977]""",0.2728712260723114,0.4365119934082031,0.988452672958374
35,1.0,"""[1.0, 1.0, 1.0, 1.0, 1.0, 1.0]""",0.07049079239368439,0.43538016080856323,0.9979768991470337,0.9330254197120667,"""[0.9741935, 0.9492754, 0.85530543, 0.8737202, 0.96057343, 0.9961977]""",0.2707393765449524,0.4378516674041748,0.988452672958374
36,1.0,"""[1.0, 1.0, 1.0, 1.0, 1.0, 1.0]""",0.06923888623714447,0.436276376247406,0.9982659220695496,0.9341801404953003,"""[0.9741935, 0.9458484, 0.86084145, 0.8737202, 0.96428573, 0.9961977]""",0.26793578267097473,0.4391995966434479,0.988452672958374
37,1.0,"""[1.0, 1.0, 1.0, 1.0, 1.0, 1.0]""",0.06798338890075684,0.43756332993507385,0.9985548853874207,0.9341801404953003,"""[0.9741935, 0.9458484, 0.86084145, 0.8737202, 0.96428573, 0.9961977]""",0.2661498486995697,0.4403292238712311,0.988452672958374
38,1.0,"""[1.0, 1.0, 1.0, 1.0, 1.0, 1.0]""",0.06672485172748566,0.4387858808040619,0.9985548853874207,0.9341801404953003,"""[0.9741935, 0.9458484, 0.86084145, 0.8737202, 0.96428573, 0.9961977]""",0.2644231915473938,0.44329363107681274,0.988452672958374
39,1.0,"""[1.0, 1.0, 1.0, 1.0, 1.0, 1.0]""",0.06551013886928558,0.4392879903316498,0.9985548853874207,0.9330254197120667,"""[0.9741935, 0.9458484, 0.85714287, 0.8707483, 0.96428573, 0.9961977]""",0.2618473470211029,0.4453693926334381,0.988452672958374
40,1.0,"""[1.0, 1.0, 1.0, 1.0, 1.0, 1.0]""",0.06431552022695541,0.44035178422927856,0.9985548853874207,0.9330254197120667,"""[0.9741935, 0.9458484, 0.85714287, 0.8707483, 0.96428573, 0.9961977]""",0.2599566876888275,0.44606566429138184,0.988452672958374
41,1.0,"""[1.0, 1.0, 1.0, 1.0, 1.0, 1.0]""",0.06319230049848557,0.4417029023170471,0.9985548853874207,0.9341801404953003,"""[0.9741935, 0.9458484, 0.85993487, 0.8745763, 0.96428573, 0.9961977]""",0.25809481739997864,0.4474647045135498,0.988452672958374
42,1.0,"""[1.0, 1.0, 1.0, 1.0, 1.0, 1.0]""",0.06207222118973732,0.442891925573349,0.9985548853874207,0.9353348612785339,"""[0.9741935, 0.9458484, 0.8636364, 0.877551, 0.96428573, 0.9961977]""",0.25600218772888184,0.44793301820755005,0.988452672958374
43,1.0,"""[1.0, 1.0, 1.0, 1.0, 1.0, 1.0]""",0.06099216267466545,0.444087415933609,0.9985548853874207,0.9353348612785339,"""[0.9741935, 0.9458484, 0.8636364, 0.877551, 0.96428573, 0.9961977]""",0.2541627287864685,0.4484023153781891,0.988452672958374
44,1.0,"""[1.0, 1.0, 1.0, 1.0, 1.0, 1.0]""",0.05994114652276039,0.4461081624031067,0.9988439083099365,0.9364895820617676,"""[0.9741935, 0.9458484, 0.86731386, 0.8805461, 0.96428573, 0.9961977]""",0.25194212794303894,0.4476987421512604,0.988452672958374
45,1.0,"""[1.0, 1.0, 1.0, 1.0, 1.0, 1.0]""",0.05890829861164093,0.4468580186367035,0.9988439083099365,0.937644362449646,"""[0.9741935, 0.9492754, 0.86731386, 0.88435376, 0.96428573, 0.9961977]""",0.25014516711235046,0.4495798349380493,0.988452672958374
